#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 2.9417E-04 1.0137E-04  -2.30   0.60 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 139  0.788424  3.8230  4.1113  0.4687  4.6371  3.8238  3.6187  3.5837  3.6167
 140  0.789010  3.8227  4.1028  0.4763  4.6192  3.8051  3.5993  3.5638  3.5965
 141  0.789588  3.8223  4.0939  0.4840  4.6013  3.7863  3.5797  3.5437  3.5760
 142  0.790157  3.8219  4.0847  0.4918  4.5833  3.7675  3.5599  3.5233  3.5551
 143  0.790717  3.8214  4.0753  0.4995  4.5651  3.7488  3.5398  3.5025  3.5337
 144  0.791268  3.8208  4.0655  0.5074  4.5468  3.7301  3.5194  3.4813  3.5119
 145  0.791809  3.8202  4.0554  0.5153  4.5285  3.7113  3.4988  3.4598  3.4896
 146  0.792340  3.8195  4.0450  0.5234  4.5102  3.6926  3.4781  3.4380  3.4670
 147  0.792860  3.8187  4.0341  0.5313  4.4918  3.6739  3.4571  3.4159  3.4439
 148  0.793368  3.8179  4.0229  0.5394  4.4734  3.6553  3.4360  3.3934  3.4204
 149  0.793865  3.8169  4.0112  0.5476  4.4550  3.6367  3.4146  3.3705  3.3964
 150  0.794350  3.8159  3.9990  0.5557  4.4368  3.6184  3.3931  3.3474  3.3720
 151  0.794822  3.8147  3.9864  0.5640  4.4190  3.6002  3.3716  3.3242  3.3473
 152  0.795281  3.8134  3.9732  0.5723  4.4014  3.5821  3.3503  3.3009  3.3225
 153  0.795727  3.8120  3.9595  0.5806  4.3841  3.5643  3.3288  3.2774  3.2974
 154  0.796160  3.8105  3.9453  0.5889  4.3672  3.5467  3.3073  3.2537  3.2719
 155  0.796579  3.8088  3.9305  0.5973  4.3506  3.5294  3.2858  3.2297  3.2460
 156  0.796984  3.8070  3.9151  0.6056  4.3345  3.5124  3.2640  3.2054  3.2195
 157  0.797376  3.8050  3.8992  0.6140  4.3187  3.4958  3.2423  3.1808  3.1926
 158  0.797754  3.8029  3.8827  0.6224  4.3035  3.4796  3.2206  3.1559  3.1653
 159  0.798119  3.8007  3.8655  0.6308  4.2887  3.4638  3.1989  3.1309  3.1377
 160  0.798471  3.7983  3.8478  0.6391  4.2746  3.4486  3.1772  3.1056  3.1095
 161  0.798811  3.7958  3.8293  0.6475  4.2615  3.4340  3.1555  3.0800  3.0809
 162  0.799082  3.7931  3.8121  0.6543  4.2533  3.4238  3.1376  3.0581  3.0558
 163  0.799350  3.7902  3.7939  0.6611  4.2464  3.4138  3.1198  3.0360  3.0303
 164  0.799615  3.7871  3.7748  0.6680  4.2414  3.4047  3.1017  3.0130  3.0037
 165  0.799879  3.7840  3.7556  0.6749  4.2374  3.3961  3.0828  2.9890  2.9759
 166  0.800141  3.7812  3.7370  0.6821  4.2322  3.3863  3.0636  2.9650  2.9484
